date	calories	gsr	heart-rate	skin-temp	steps
2015-02-03 07:47Z	1.1	0.00245905	52	92.975	0
2015-02-03 07:48Z	1.2	0.0024357	53	92.9	0
2015-02-03 07:49Z	1.2	0.0022698	56	92.75	0
2015-02-03 07:50Z	1.3	0.00230596	53	92.7125	0
2015-02-03 07:51Z	1.2	0.00234522	55	92.75	0
2015-02-03 07:52Z	1.1	0.00221891	54	92.75	0
2015-02-03 07:53Z	1.2	0.0022961	55	92.75	0
2015-02-03 07:54Z	1.2	0.00224123	53	92.75	0
2015-02-03 07:55Z	1.1	0.00216713	54	92.6937	0
2015-02-03 07:56Z	1.2	0.00244901	53	92.5625	0
2015-02-03 07:57Z	1.2	0.00222594	54	92.525	0
2015-02-03 07:58Z	1.3	0.00236607	52	92.3938	0
2015-02-03 07:59Z	1.1	0.00214846	52	92.3	0
2015-02-03 08:00Z	1.2	0.00191658	53	92.3	0
2015-02-03 08:01Z	1.1	0.00195576	53	92.3	0
2015-02-03 08:02Z	1.2	0.00217135	53	92.3	0
2015-02-03 08:03Z	1.2	0.00188364	55	92.3	0
2015-02-03 08:04Z	1.1	0.00209588	54	92.3	0
2015-02-03 08:05Z	1.2	0.00185589	54	92.3	0
2015-02-03 08:06Z	1.1	0.00171449	55	92.3	0
2015-02-03 08:07Z	1.2	0.00206117	54	92.4125	0
2015-02-03 08:08Z	1.1	0.00180962	54	92.45	0
2015-02-03 08:09Z	1.2	0.00182728	54	92.525	0
2015-02-03 08:10Z	1.2	0.00200231	54	92.525	0
2015-02-03 08:11Z	1.1	0.00194139	53	92.525	0
2015-02-03 08:12Z	1.2	0.00184965	53	92.525	0
2015-02-03 08:13Z	1.1	0.001806	53	92.525	0
2015-02-03 08:14Z	1.2	0.00184871	53	92.525	0
2015-02-03 08:15Z	1.1	0.0019564	53	92.525	0
2015-02-03 08:16Z	1.2	0.0017871	53	92.5062	0
2015-02-03 08:17Z	1.3	0.00199633	53	92.5813	0
2015-02-03 08:18Z	1.2	0.00191957	51	92.525	0
2015-02-03 08:19Z	1.2	0.00210188	51	92.525	0
2015-02-03 08:20Z	1.3	0.00210459	51	92.525	0
2015-02-03 08:21Z	1.1	0.00213266	50	92.525	0
2015-02-03 08:22Z	1.2	0.00206799	51	92.525	0
2015-02-03 08:23Z	1.5	0.00237111	64	92.4313	0
2015-02-03 08:24Z	1.2	0.00213828	51	92.3375	0
2015-02-03 08:25Z	1.1	0.00198692	51	92.525	0
2015-02-03 08:26Z	1.1	0.00205206	51	92.525	0
2015-02-03 08:27Z	1.2	0.00196875	52	92.6562	0
2015-02-03 08:28Z	1.2	0.00213613	51	92.75	0
2015-02-03 08:29Z	1.1	0.00223797	52	92.75	0
2015-02-03 08:30Z	1.2	0.00240563	52	92.975	0
2015-02-03 08:31Z	1.1	0.00265793	51	92.975	0
2015-02-03 08:32Z	1.2	0.0031103	52	92.975	0
2015-02-03 08:33Z	1.1	0.00337926	52	93.0875	0
2015-02-03 08:34Z	1.2	0.00408593	52	93.2	0
2015-02-03 08:35Z	1.2	0.00459946	51	93.2	0
2015-02-03 08:36Z	1.1	0.00550005	52	93.2	0
2015-02-03 08:37Z	1.2	0.00743567	52	93.2	0
2015-02-03 08:38Z	1.1	0.00929452	52	93.2	0
2015-02-03 08:39Z	1.2	0.0117046	51	93.2	0
2015-02-03 08:40Z	1.1	0.0158238	52	93.2	0
2015-02-03 08:41Z	1.2	0.0245638	51	93.2	0
2015-02-03 08:42Z	1.1	0.025688	51	93.2	0
2015-02-03 08:43Z	1.2	0.0286077	52	93.2	0
2015-02-03 08:44Z	1.1	0.0364086	52	93.2	0
